Inter_Index,Inter_ID,Zone_Index,Depot_ID,Medoid_Customer_ID,Latitude,Longitude,Weight,Volume,Service
0,Z0_C007226,0,D001_4,C007226,10.7751,106.806,700.57,8.961,947
1,Z1_C023706,1,D001_4,C023706,10.7679,106.592,426.32,3.908,288
2,Z2_C001702,2,D001_4,C001702,10.7074,106.773,60.63,1.897,91
3,Z3_C012121,3,D001_4,C012121,10.7082,106.786,388.11,7.342,343
4,Z4_C014876,4,D001_4,C014876,10.7194,106.793,214.43,5.562,266
5,Z5_C016621,5,D001_4,C016621,10.7188,106.805,731.83,5.44,865
6,Z6_C043667,6,D001_4,C043667,10.8012,106.747,476.9,7.866,577
7,Z7_C017611,7,D001_4,C017611,10.8195,106.737,460.97,4.161,312
8,Z8_C041032,8,D001_4,C041032,10.8735,106.604,799.94,8.518,581
9,Z9_C012642,9,D001_4,C012642,10.8408,106.623,157.45,2.492,154
10,Z10_C036828,10,D001_4,C036828,10.6717,106.676,806.43,6.852,502
11,Z11_C027662,11,D001_4,C027662,10.6715,106.808,633,2.415,435
12,Z12_C048744,12,D001_4,C048744,10.6826,106.799,372.88,1.121,254
13,Z13_C035236,13,D001_4,C035236,10.7838,106.758,515.5,2.163,243
14,Z14_C031640,14,D001_4,C031640,10.77,106.749,878.31,3.838,470
15,Z15_C015893,15,D001_4,C015893,10.7855,106.737,125.61,0.358,35
16,Z16_C047601,16,D001_4,C047601,10.8004,106.754,335.14,0.934,148
17,Z17_C046673,17,D001_4,C046673,10.7793,106.73,875.21,5.982,732
18,Z18_C001168,18,D001_4,C001168,10.79,106.733,186.64,1.18,131
19,Z19_C011586,19,D001_4,C011586,10.7865,106.718,251.79,2.179,209
20,Z20_C046054,20,D001_4,C046054,10.7343,106.717,445.58,8.403,483
21,Z21_C036585,21,D001_4,C036585,10.7105,106.71,116.76,2.284,143
22,Z22_C019104,22,D001_4,C019104,10.849,106.786,838.83,8.561,577
23,Z23_C025040,23,D001_4,C025040,10.8466,106.801,515.75,6.668,308
24,Z24_C044961,24,D001_4,C044961,10.8481,106.813,377.65,3.821,245
25,Z25_C032366,25,D001_4,C032366,10.7978,106.801,435.72,5.707,239
26,Z26_C038953,26,D001_4,C038953,10.7874,106.811,788.34,8.95,445
27,Z27_C036439,27,D001_4,C036439,10.8854,106.662,391.63,3.659,255
28,Z28_C023197,28,D001_4,C023197,10.8794,106.688,688.39,6.745,354
29,Z29_C001636,29,D001_4,C001636,10.8541,106.672,243.62,2.744,237
30,Z30_C038692,30,D001_4,C038692,10.8102,106.771,307.72,2.811,136
31,Z31_C007272,31,D001_4,C007272,10.8029,106.775,342.08,3.069,145
32,Z32_C041865,32,D001_4,C041865,10.7807,106.758,102.47,1.276,45
33,Z33_C015762,33,D001_4,C015762,10.7893,106.767,825.29,7.903,384
34,Z34_C028830,34,D001_4,C028830,10.8606,106.761,581.15,4.677,341
35,Z35_C023737,35,D001_4,C023737,10.8739,106.77,719.28,6.424,478
36,Z36_C028249,36,D001_4,C028249,10.8886,106.758,498.94,4.599,360
37,Z37_C034810,37,D001_4,C034810,10.7332,106.72,266,1.194,123
38,Z38_C012053,38,D001_4,C012053,10.7183,106.731,966.07,6.961,501
39,Z39_C036809,39,D001_4,C036809,10.7482,106.734,543.53,4.365,462
40,Z40_C037691,40,D001_4,C037691,10.7539,106.745,578.59,5.057,508
41,Z41_C021333,41,D001_4,C021333,10.6821,106.779,419.44,3.731,235
42,Z42_C012114,42,D001_4,C012114,10.7009,106.767,731.83,5.757,353
43,Z43_C030114,43,D001_4,C030114,10.7044,106.784,429.95,2.904,186
44,Z44_C023578,44,D001_4,C023578,10.6835,106.793,168.63,2.837,105
45,Z45_C001454,45,D001_4,C001454,10.676,106.801,424.96,7.749,335
46,Z46_C036852,46,D001_4,C036852,10.6677,106.817,390.29,6.612,341
47,Z47_C010010,47,D001_4,C010010,10.8165,106.799,908.36,7.073,776
48,Z48_C003622,48,D001_4,C003622,10.8684,106.814,472.04,4.526,377
49,Z49_C011120,49,D001_4,C011120,10.8899,106.804,498.81,5.331,339
50,Z50_C027995,50,D001_4,C027995,10.8782,106.8,504.59,4.772,350
51,Z51_C022444,51,D001_4,C022444,10.6962,106.811,877.17,8.063,458
52,Z52_C036690,52,D001_4,C036690,10.7113,106.808,591.02,4.198,258
53,Z53_C028832,53,D001_4,C028832,10.7534,106.808,919.45,3.73,389
54,Z54_C023357,54,D001_4,C023357,10.7356,106.806,879.85,3.066,441
