Route_Index,Depot_ID,Vehicle_ID,Seq,Customer_ID,Latitude,Longitude
0,D001_2,V0119,0,Z1903_C038604,10.736,106.625
1,D001_2,V0119,0,Z1904_C032091,10.7392,106.62
2,D001_2,V0119,0,Z1905_C016139,10.7513,106.631
3,D001_2,V0119,0,Z1906_C008413,10.7279,106.616
4,D001_2,V0064,0,Z1907_C039360,10.7579,106.614
5,D001_2,V0119,0,Z1908_C024411,10.7504,106.621
6,D001_2,V0119,0,Z1909_C010926,10.7393,106.609
7,D001_2,V0119,0,Z1910_C037532,10.7442,106.612
8,D001_2,V0119,0,Z1911_C005280,10.7333,106.609
9,D001_2,V0119,0,Z1912_C008210,10.7554,106.624
10,D001_2,V0119,0,Z1913_C023646,10.6871,106.605
11,D001_2,V0119,0,Z1914_C003538,10.6848,106.599
12,D001_2,V0064,0,Z1916_C033778,10.7023,106.594
13,D001_2,V0119,0,Z1917_C006200,10.7898,106.65
14,D001_2,V0064,0,Z1918_C007560,10.78,106.647
15,D001_2,V0119,0,Z1919_C016003,10.7935,106.658
16,D001_2,V0119,0,Z1920_C049573,10.718,106.619
17,D001_2,V0119,0,Z1921_C023978,10.7034,106.639
18,D001_2,V0064,0,Z1922_C009084,10.7157,106.642
19,D001_2,V0119,0,Z1923_C004795,10.7175,106.633
20,D001_2,V0119,0,Z1924_C006676,10.7066,106.624
21,D001_2,V0119,0,Z1927_C025726,10.7789,106.616
22,D001_2,V0119,0,Z1928_C031904,10.7977,106.606
23,D001_2,V0119,0,Z1929_C013616,10.7996,106.588
24,D001_2,V0119,0,Z1930_C014037,10.792,106.596
25,D001_2,V0119,0,Z1931_C011338,10.8134,106.602
26,D001_2,V0119,0,Z1932_C009631,10.8066,106.597
27,D001_2,V0119,0,Z1933_C044018,10.8147,106.586
28,D001_2,V0064,0,Z1934_C012248,10.7151,106.668
29,D001_2,V0119,0,Z1935_C029943,10.7072,106.671
30,D001_2,V0119,0,Z1936_C047374,10.7179,106.661
31,D001_2,V0119,0,Z1937_C023522,10.7274,106.673
32,D001_2,V0064,0,Z1938_C027520,10.7283,106.665
33,D001_2,V0119,0,Z1939_C014215,10.7072,106.682
34,D001_2,V0064,0,Z1940_C023926,10.7132,106.69
35,D001_2,V0119,0,Z1941_C025892,10.7252,106.684
36,D001_2,V0119,0,Z1942_C036853,10.6692,106.675
37,D001_2,V0119,0,Z1943_C042126,10.687,106.667
38,D001_2,V0064,0,Z1944_C047734,10.6779,106.67
39,D001_2,V0119,0,Z1945_C024565,10.6867,106.679
40,D001_2,V0064,0,Z1946_C020791,10.6929,106.674
41,D001_2,V0119,0,Z1947_C038727,10.6932,106.685
42,D001_2,V0119,0,Z1948_C025605,10.7367,106.583
43,D001_2,V0119,0,Z1949_C013826,10.7433,106.592
44,D001_2,V0119,0,Z1950_C009830,10.7597,106.597
45,D001_2,V0119,0,Z1951_C036855,10.7462,106.6
46,D001_2,V0119,0,Z1952_C033343,10.7574,106.587
47,D001_2,V0119,0,Z1953_C036773,10.8681,106.599
48,D001_2,V0119,0,Z1954_C004724,10.8737,106.586
49,D001_2,V0119,0,Z1955_C004890,10.8851,106.613
50,D001_2,V0119,0,Z1956_C010552,10.8659,106.614
51,D001_2,V0119,0,Z1957_C032023,10.7336,106.593
52,D001_2,V0064,0,Z1958_C012668,10.7484,106.589
53,D001_2,V0119,0,Z1959_C011455,10.7567,106.596
54,D001_2,V0119,0,Z1960_C007309,10.7419,106.609
55,D001_2,V0119,0,Z1961_C005278,10.6587,106.685
