Zone_Index,Depot_ID,Num_Customers,Medoid_Customer_ID,Total_Weight,Total_Volume,Total_Service
0,D001_4,105,C007226,700.57,8.961,947
1,D001_4,30,C023706,426.32,3.908,288
2,D001_4,9,C001702,60.63,1.897,91
3,D001_4,39,C012121,388.11,7.342,343
4,D001_4,30,C014876,214.43,5.562,266
5,D001_4,86,C016621,731.83,5.44,865
6,D001_4,60,C043667,476.9,7.866,577
7,D001_4,36,C017611,460.97,4.161,312
8,D001_4,67,C041032,799.94,8.518,581
9,D001_4,17,C012642,157.45,2.492,154
10,D001_4,59,C036828,806.43,6.852,502
11,D001_4,49,C027662,633,2.415,435
12,D001_4,26,C048744,372.88,1.121,254
13,D001_4,28,C035236,515.5,2.163,243
14,D001_4,49,C031640,878.31,3.838,470
15,D001_4,6,C015893,125.61,0.358,35
16,D001_4,16,C047601,335.14,0.934,148
17,D001_4,85,C046673,875.21,5.982,732
18,D001_4,16,C001168,186.64,1.18,131
19,D001_4,24,C011586,251.79,2.179,209
20,D001_4,54,C046054,445.58,8.403,483
21,D001_4,16,C036585,116.76,2.284,143
22,D001_4,62,C019104,838.83,8.561,577
23,D001_4,42,C025040,515.75,6.668,308
24,D001_4,27,C044961,377.65,3.821,245
25,D001_4,29,C032366,435.72,5.707,239
26,D001_4,50,C038953,788.34,8.95,445
27,D001_4,30,C036439,391.63,3.659,255
28,D001_4,46,C023197,688.39,6.745,354
29,D001_4,23,C001636,243.62,2.744,237
30,D001_4,16,C038692,307.72,2.811,136
31,D001_4,18,C007272,342.08,3.069,145
32,D001_4,6,C041865,102.47,1.276,45
33,D001_4,43,C015762,825.29,7.903,384
34,D001_4,43,C028830,581.15,4.677,341
35,D001_4,55,C023737,719.28,6.424,478
36,D001_4,38,C028249,498.94,4.599,360
37,D001_4,13,C034810,266,1.194,123
38,D001_4,56,C012053,966.07,6.961,501
39,D001_4,50,C036809,543.53,4.365,462
40,D001_4,57,C037691,578.59,5.057,508
41,D001_4,22,C021333,419.44,3.731,235
42,D001_4,39,C012114,731.83,5.757,353
43,D001_4,22,C030114,429.95,2.904,186
44,D001_4,13,C023578,168.63,2.837,105
