Customer_ID,Cluster_ID,Assigned_Medoid_Index,Assigned_Medoid_ID,Distance_km
"C000002",2,868,"C001904",5.008120
"C000003",5,21482,"C047883",11.565539
"C000006",5,21482,"C047883",3.651492
"C000010",0,5705,"C012675",10.317195
"C000011",5,21482,"C047883",3.475910
"C000013",0,5705,"C012675",6.327228
"C000014",4,9961,"C022249",5.047328
"C000015",2,868,"C001904",9.936425
"C000017",1,5732,"C012734",2.562707
"C000018",4,9961,"C022249",4.271085
"C000026",1,5732,"C012734",2.740554
"C000027",0,5705,"C012675",4.590583
"C000028",4,9961,"C022249",0.825975
"C000029",4,9961,"C022249",5.842468
"C000031",4,9961,"C022249",0.794526
"C000032",5,21482,"C047883",2.271283
"C000033",3,16827,"C037407",3.178686
"C000035",1,5732,"C012734",8.127820
"C000036",4,9961,"C022249",1.331229
"C000037",0,5705,"C012675",5.796664
"C000042",3,16827,"C037407",3.363704
"C000043",0,5705,"C012675",4.338595
"C000044",1,5732,"C012734",5.383858
"C000046",2,868,"C001904",8.069285
"C000051",2,868,"C001904",1.677009
"C000055",5,21482,"C047883",5.051287
"C000056",0,5705,"C012675",9.001452
"C000057",2,868,"C001904",1.549879
"C000066",5,21482,"C047883",11.343329
"C000068",0,5705,"C012675",4.777293
"C000069",0,5705,"C012675",9.523089
"C000071",5,21482,"C047883",4.601636
"C000075",5,21482,"C047883",12.400363
"C000078",5,21482,"C047883",7.099824
"C000079",5,21482,"C047883",6.158417
"C000081",2,868,"C001904",3.970625
"C000084",3,16827,"C037407",7.352738
"C000087",3,16827,"C037407",1.336061
"C000088",0,5705,"C012675",0.513094
"C000089",1,5732,"C012734",5.092517
"C000090",3,16827,"C037407",6.218910
"C000093",4,9961,"C022249",3.711024
"C000097",2,868,"C001904",6.935829
"C000098",5,21482,"C047883",1.611882
"C000099",2,868,"C001904",7.880505
"C000100",0,5705,"C012675",2.815493
"C000103",1,5732,"C012734",7.464274
"C000104",2,868,"C001904",7.250542
"C000105",3,16827,"C037407",3.530332
"C000110",5,21482,"C047883",12.601831
"C000111",3,16827,"C037407",6.776914
"C000112",2,868,"C001904",4.110602
"C000113",0,5705,"C012675",5.030915
"C000115",4,9961,"C022249",1.506361
"C000119",0,5705,"C012675",1.461146
"C000122",1,5732,"C012734",4.405457
"C000123",3,16827,"C037407",4.903572
"C000127",5,21482,"C047883",4.160919
"C000130",1,5732,"C012734",11.120382
"C000132",3,16827,"C037407",9.194287
"C000136",2,868,"C001904",8.953223
"C000137",1,5732,"C012734",2.931456
"C000138",1,5732,"C012734",4.238186
"C000141",2,868,"C001904",5.163349
"C000142",3,16827,"C037407",7.843821
"C000148",3,16827,"C037407",2.078269
"C000151",2,868,"C001904",5.725571
"C000153",0,5705,"C012675",2.766021
"C000154",0,5705,"C012675",6.703091
"C000156",1,5732,"C012734",15.223783
"C000160",0,5705,"C012675",4.582113
"C000161",5,21482,"C047883",14.378224
"C000164",3,16827,"C037407",3.319468
"C000167",3,16827,"C037407",8.455067
"C000172",1,5732,"C012734",6.826482
"C000176",1,5732,"C012734",3.264550
"C000177",0,5705,"C012675",6.471531
"C000178",0,5705,"C012675",3.836393
"C000179",4,9961,"C022249",1.452023
"C000180",0,5705,"C012675",5.659838
"C000182",4,9961,"C022249",2.832866
"C000183",0,5705,"C012675",3.995131
"C000187",5,21482,"C047883",7.939432
"C000191",5,21482,"C047883",3.905874
"C000193",2,868,"C001904",4.031556
"C000195",1,5732,"C012734",7.939653
"C000197",2,868,"C001904",8.064606
"C000200",2,868,"C001904",3.672846
"C000202",4,9961,"C022249",2.271297
