customer_id,cluster_id,medoid_id,medoid_index,distance_km
C000007,7,C008032,630,2.277584
C000039,4,C001362,118,1.129035
C000048,0,C041816,3311,2.202475
C000085,0,C041816,3311,2.340028
C000092,6,C016665,1320,2.730054
C000120,5,C023800,1861,1.465454
C000126,0,C041816,3311,2.308986
C000135,6,C016665,1320,2.119569
C000143,2,C006463,501,0.163722
C000168,6,C016665,1320,1.593374
C000189,6,C016665,1320,2.017972
C000204,5,C023800,1861,2.771308
C000222,0,C041816,3311,1.998562
C000238,0,C041816,3311,2.119837
C000243,2,C006463,501,2.830536
C000247,6,C016665,1320,2.519537
C000256,5,C023800,1861,2.370036
C000263,2,C006463,501,2.108171
C000287,0,C041816,3311,2.128635
C000290,7,C008032,630,0.275137
C000294,5,C023800,1861,0.607453
C000296,1,C045643,3630,1.315341
C000316,6,C016665,1320,1.165195
C000318,6,C016665,1320,2.002910
C000323,2,C006463,501,3.074661
C000330,0,C041816,3311,1.961746
C000341,7,C008032,630,2.106402
C000352,2,C006463,501,1.283726
C000382,7,C008032,630,1.511283
C000393,7,C008032,630,0.765788
C000403,5,C023800,1861,2.003188
C000413,5,C023800,1861,3.169162
C000423,1,C045643,3630,1.561580
C000426,4,C001362,118,1.790595
C000427,5,C023800,1861,1.837450
C000437,4,C001362,118,2.156892
C000455,0,C041816,3311,2.683257
C000460,6,C016665,1320,2.697774
C000475,0,C041816,3311,2.627485
C000492,5,C023800,1861,2.345502
C000496,4,C001362,118,0.409084
C000513,5,C023800,1861,2.779615
C000518,1,C045643,3630,1.300088
C000523,6,C016665,1320,2.512465
C000532,1,C045643,3630,2.347286
C000574,6,C016665,1320,1.533647
C000580,6,C016665,1320,0.913485
C000603,4,C001362,118,2.235601
C000614,5,C023800,1861,1.207998
C000618,4,C001362,118,1.242703
C000621,7,C008032,630,2.141802
C000624,4,C001362,118,1.028514
C000634,0,C041816,3311,2.515407
C000638,7,C008032,630,2.529793
C000642,6,C016665,1320,2.262039
C000643,6,C016665,1320,1.439213
C000654,2,C006463,501,0.192262
C000662,3,C038542,3084,1.566747
C000666,3,C038542,3084,0.776065
C000673,2,C006463,501,1.947857
C000686,3,C038542,3084,1.092523
C000697,0,C041816,3311,2.288136
C000701,5,C023800,1861,0.378579
C000708,4,C001362,118,1.691699
C000728,1,C045643,3630,1.983811
C000748,5,C023800,1861,0.904073
C000764,6,C016665,1320,1.502015
C000771,3,C038542,3084,0.701906
C000779,7,C008032,630,1.673140
C000786,6,C016665,1320,2.009295
C000787,7,C008032,630,2.157207
C000805,4,C001362,118,0.798789
C000808,3,C038542,3084,3.008745
C000814,6,C016665,1320,1.130115
C000824,2,C006463,501,2.135246
C000832,5,C023800,1861,2.599246
C000839,5,C023800,1861,1.566095
C000845,6,C016665,1320,1.293090
C000855,2,C006463,501,0.735225
C000862,0,C041816,3311,2.519782
C000905,0,C041816,3311,3.202462
C000908,7,C008032,630,1.689833
C000929,4,C001362,118,2.541739
C000955,3,C038542,3084,2.251058
C000989,5,C023800,1861,2.028283
C001016,0,C041816,3311,2.184249
C001030,6,C016665,1320,1.936053
C001039,6,C016665,1320,1.440639
C001067,7,C008032,630,1.617585
C001074,7,C008032,630,1.499626
C001076,3,C038542,3084,1.710551
C001079,0,C041816,3311,0.920223
C001088,3,C038542,3084,0.592394
C001112,5,C023800,1861,1.213856
C001137,0,C041816,3311,1.466700
C001139,4,C001362,118,2.714893
C001143,6,C016665,1320,2.431635
C001156,6,C016665,1320,1.463116
C001178,0,C041816,3311,2.140361
C001194,7,C008032,630,2.347754
C001199,1,C045643,3630,2.333826
C001203,2,C006463,501,2.017570
C001210,1,C045643,3630,1.249805
C001212,0,C041816,3311,2.385075
C001215,5,C023800,1861,0.781266
C001234,5,C023800,1861,1.677908
C001236,0,C041816,3311,1.757760
C001259,2,C006463,501,2.596443
C001267,5,C023800,1861,2.322580
C001270,3,C038542,3084,2.323072
C001276,1,C045643,3630,1.917723
C001280,1,C045643,3630,1.986348
C001293,3,C038542,3084,2.150860
C001308,4,C001362,118,0.050538
C001320,0,C041816,3311,1.104513
C001329,5,C023800,1861,2.402803
C001351,3,C038542,3084,1.850312
C001355,1,C045643,3630,2.194625
C001362,4,C001362,118,0.000000
C001363,6,C016665,1320,1.690811
C001371,0,C041816,3311,1.123328
C001374,5,C023800,1861,2.633198
C001381,3,C038542,3084,1.722120
C001392,0,C041816,3311,2.690371
C001398,0,C041816,3311,2.576175
C001402,4,C001362,118,1.848727
C001404,4,C001362,118,1.186243
C001458,1,C045643,3630,2.784654
C001470,0,C041816,3311,2.823535
C001478,4,C001362,118,1.957431
C001489,5,C023800,1861,2.508623
C001499,7,C008032,630,1.116867
C001523,0,C041816,3311,1.119627
C001528,2,C006463,501,0.398379
C001542,7,C008032,630,3.045748
C001558,0,C041816,3311,0.492530
C001585,2,C006463,501,0.557431
C001591,7,C008032,630,0.186868
C001606,2,C006463,501,2.061062
C001608,3,C038542,3084,2.275637
C001632,2,C006463,501,1.163024
C001657,5,C023800,1861,2.233610
C001665,3,C038542,3084,2.333048
C001670,2,C006463,501,2.750977
C001671,4,C001362,118,1.133643
C001692,2,C006463,501,1.986271
C001696,5,C023800,1861,1.626807
C001701,0,C041816,3311,1.102952
C001712,5,C023800,1861,1.967716
C001757,5,C023800,1861,1.894030
C001773,6,C016665,1320,0.887775
C001782,7,C008032,630,2.629677
C001795,5,C023800,1861,2.222409
C001800,5,C023800,1861,2.450419
C001805,0,C041816,3311,1.142689
C001810,4,C001362,118,2.881038
C001828,6,C016665,1320,2.197075
C001830,4,C001362,118,1.321461
C001833,5,C023800,1861,2.534694
C001836,4,C001362,118,2.681212
C001842,4,C001362,118,1.041712
C001850,0,C041816,3311,2.903549
C001871,3,C038542,3084,1.554625
C001895,3,C038542,3084,1.207202
C001908,6,C016665,1320,3.434484
C001909,2,C006463,501,1.497590
C001911,4,C001362,118,1.062263
C001924,7,C008032,630,2.575097
C001927,1,C045643,3630,2.430106
C001932,3,C038542,3084,1.524570
C001935,3,C038542,3084,1.113570
C001940,2,C006463,501,2.140365
C002019,0,C041816,3311,2.102133
C002021,5,C023800,1861,2.624245
C002039,4,C001362,118,0.992805
C002053,1,C045643,3630,2.154780
C002079,5,C023800,1861,1.248411
C002091,1,C045643,3630,1.664587
C002120,1,C045643,3630,1.555010
C002127,2,C006463,501,2.558771
C002146,2,C006463,501,2.420864
C002162,3,C038542,3084,2.464703
C002176,5,C023800,1861,2.384455
C002180,2,C006463,501,2.258219
C002186,5,C023800,1861,2.379075
C002231,5,C023800,1861,1.098125
C002232,0,C041816,3311,1.507022
C002242,2,C006463,501,1.394776
C002249,6,C016665,1320,1.407204
C002253,4,C001362,118,2.359026
C002266,7,C008032,630,2.693441
C002269,2,C006463,501,2.584441
C002280,2,C006463,501,1.940480
C002313,1,C045643,3630,1.468284
C002323,7,C008032,630,0.528309
C002352,4,C001362,118,3.052362
C002377,4,C001362,118,1.642602
C002402,7,C008032,630,2.017476
C002421,1,C045643,3630,0.144516
C002439,3,C038542,3084,1.183358
C002441,5,C023800,1861,1.185691
C002472,4,C001362,118,3.038676
C002488,1,C045643,3630,2.972676
C002496,7,C008032,630,0.860642
C002509,4,C001362,118,3.473194
C002528,1,C045643,3630,2.548590
C002532,0,C041816,3311,2.130243
C002552,6,C016665,1320,1.299870
C002619,4,C001362,118,2.197411
C002643,0,C041816,3311,2.698422
C002660,4,C001362,118,1.656031
C002671,1,C045643,3630,1.886162
C002673,5,C023800,1861,1.310533
C002674,0,C041816,3311,1.142504
C002697,7,C008032,630,2.241426
C002711,1,C045643,3630,0.789526
