Vehicle_ID,Vehicle_Type,Capacity_Weight,Capacity_Volume,Fixed_Cost,Variable_Cost,Max_Distance,Max_Working_Hours,Start_Depot_ID,End_Depot_ID
V0022,Motorbike,88,0.4,13.98,0.05,97,8,D010_3,D010_3
V0032,Bike,39,0.21,9.28,0.08,26,6,D010_4,D010_4
V0046,Motorbike,71,0.51,14.41,0.05,126,10,D010_2,D010_2
V0051,Bike,32,0.19,5.51,0.03,26,8,D010_1,D010_1
V0087,Van,912,12.5,48.97,0.26,235,8,D010_5,D010_5
V0088,Bike,38,0.25,5.25,0.08,41,6,D010_3,D010_3
V0105,Motorbike,50,0.58,11.44,0.11,149,10,D010_5,D010_5
V0106,EV Van,1152,7.29,63.94,0.12,211,8,D010_5,D010_5
V0134,EV Van,870,11.51,46.2,0.15,230,8,D010_1,D010_1
V0163,Bike,37,0.23,7.19,0.05,30,6,D010_3,D010_3
V0167,Van,976,13.7,61.89,0.23,162,10,D010_3,D010_3
V0168,Van,1474,9.58,65.09,0.25,284,8,D010_4,D010_4
V0173,Van,1297,12.88,49.34,0.15,273,12,D010_3,D010_3
V0204,Motorbike,97,0.44,13.29,0.08,92,8,D010_1,D010_1
V0230,Bike,34,0.19,8.25,0.05,20,8,D010_3,D010_3
V0234,Motorbike,77,0.28,14.7,0.06,94,10,D010_5,D010_5
V0235,Bike,39,0.16,9.1,0.04,43,6,D010_5,D010_5
V0238,Cargo Trike,128,0.69,17.12,0.08,53,10,D010_4,D010_4
V0239,Bike,21,0.24,5.81,0.04,25,6,D010_1,D010_1
V0265,Motorbike,87,0.27,12.79,0.06,106,8,D010_5,D010_5
V0270,Motorbike,86,0.21,9.16,0.12,82,8,D010_2,D010_2
V0271,Van,1222,8.31,45.1,0.23,249,10,D010_4,D010_4
V0281,EV Van,1070,9.09,51.81,0.1,198,10,D010_1,D010_1
V0285,Bike,37,0.13,9.65,0.04,41,6,D010_5,D010_5
V0294,Van,803,13.72,72.81,0.27,311,8,D010_1,D010_1
