Origin_Node_ID,Destination_Node_ID,Distance_km,Travel_Time_min,Traffic_Level,Road_Restrictions
D003_5,C000022,10.317,22.1,Low,
D003_5,C000038,1.96,5.2,Medium,
D003_5,C000045,3.799,8.1,Low,
D003_5,C000052,5.061,13.6,Medium,
D003_5,C000059,8.869,30.4,High,
D003_5,C000065,4.348,11.6,Medium,
D003_5,C000072,11.36,38.9,High,
D003_5,C000086,9.258,19.8,Low,
D003_5,C000107,2.179,5.8,Medium,
D003_5,C000109,5.038,10.8,Low,One-Way
D003_5,C000114,9.516,25.5,Medium,One-Way
D003_5,C000121,9.281,24.9,Medium,
D003_5,C000125,10.702,28.7,Medium,
D003_5,C000129,11.7,31.3,Medium,
D003_5,C000134,12.62,43.3,High,
D003_5,C000150,7.07,15.1,Low,One-Way
D003_5,C000158,4.333,9.3,Low,
D003_5,C000166,10.128,21.7,Low,
D003_5,C000173,11.075,23.7,Low,
D003_5,C000174,9.891,33.9,High,
D003_5,C000175,3.292,7.1,Low,
D003_5,C000184,7.262,19.5,Medium,No Heavy Trucks
D003_5,C000186,5.742,12.3,Low,No Heavy Trucks
D003_5,C000219,7.129,15.3,Low,
D003_5,C000224,8.298,28.4,High,
D003_5,C000225,2.437,6.5,Medium,No Heavy Trucks
D003_5,C000234,5.303,14.2,Medium,
D003_5,C000235,4.458,15.3,High,No Heavy Trucks
D003_5,C000258,9.033,31.0,High,
D003_5,C000281,9.315,25.0,Medium,
D003_5,C000288,10.102,27.1,Medium,
D003_5,C000292,5.832,15.6,Medium,
D003_5,C000297,7.52,20.1,Medium,
D003_5,C000298,2.893,6.2,Low,
D003_5,C000306,6.435,13.8,Low,
D003_5,C000328,5.31,11.4,Low,
D003_5,C000332,9.864,33.8,High,
D003_5,C000334,4.102,11.0,Medium,One-Way
D003_5,C000342,8.122,21.8,Medium,One-Way
D003_5,C000349,8.429,18.1,Low,
D003_5,C000350,6.504,17.4,Medium,
D003_5,C000371,11.484,30.8,Medium,
D003_5,C000377,5.304,18.2,High,
D003_5,C000388,2.361,6.3,Medium,No Heavy Trucks
