Vehicle_ID,Vehicle_Type,Capacity_Weight,Capacity_Volume,Fixed_Cost,Variable_Cost,Max_Distance,Max_Working_Hours,Start_Depot_ID,End_Depot_ID
V0001,Motorbike,75,0.74,11.7,0.07,140,8,D005_5,D005_5
V0006,Van,896,9.21,71.48,0.2,159,10,D005_1,D005_1
V0011,Bike,22,0.39,6.54,0.07,28,6,D005_2,D005_2
V0024,Motorbike,70,0.26,10.24,0.06,147,8,D005_1,D005_1
V0027,Motorbike,97,0.37,11.99,0.07,108,10,D005_3,D005_3
V0036,Van,829,8.62,60.91,0.25,216,8,D005_1,D005_1
V0040,EV Van,779,10.62,57.2,0.14,179,10,D005_5,D005_5
V0056,Van,1382,10.45,47.73,0.25,165,10,D005_2,D005_2
V0074,Motorbike,51,0.68,12.07,0.09,90,10,D005_3,D005_3
V0077,Bike,26,0.11,6.53,0.04,27,8,D005_3,D005_3
V0081,EV Van,872,7.54,42.83,0.11,195,9,D005_1,D005_1
V0082,EV Van,871,9.48,63.41,0.14,192,10,D005_2,D005_2
V0092,Motorbike,54,0.38,10.43,0.09,93,8,D005_2,D005_2
V0100,Motorbike,59,0.68,14.47,0.07,96,10,D005_4,D005_4
V0107,Van,1465,8.92,67.07,0.13,218,10,D005_1,D005_1
V0109,EV Van,826,11.38,65.86,0.1,176,8,D005_1,D005_1
V0110,Bike,27,0.36,8.52,0.04,39,6,D005_5,D005_5
V0115,Van,974,13.57,50.22,0.27,165,8,D005_4,D005_4
V0145,Van,1376,13.85,45.47,0.21,219,12,D005_5,D005_5
V0157,Bike,29,0.4,9.16,0.05,25,6,D005_5,D005_5
V0164,Van,937,10.07,69.59,0.16,304,8,D005_5,D005_5
V0171,Motorbike,99,0.33,12.65,0.12,127,10,D005_2,D005_2
V0175,Bike,28,0.12,5.55,0.06,23,8,D005_1,D005_1
V0207,Motorbike,62,0.48,10.18,0.07,141,10,D005_1,D005_1
V0208,Bike,39,0.37,8.88,0.04,34,6,D005_1,D005_1
V0224,Motorbike,98,0.34,8.15,0.08,107,10,D005_3,D005_3
V0226,Motorbike,73,0.23,10.2,0.09,157,10,D005_2,D005_2
V0232,EV Van,789,10.27,65.15,0.12,235,10,D005_2,D005_2
V0242,Motorbike,74,0.23,11.55,0.1,99,10,D005_5,D005_5
V0243,Cargo Trike,111,1.42,13.09,0.1,87,8,D005_3,D005_3
V0245,Van,1002,12.13,70.28,0.24,190,12,D005_1,D005_1
V0269,Bike,35,0.12,8.1,0.08,49,6,D005_1,D005_1
V0274,EV Van,1138,11.68,45.92,0.12,127,10,D005_3,D005_3
V0275,Motorbike,66,0.39,11.27,0.09,71,8,D005_3,D005_3
V0276,Van,959,8.86,62.8,0.26,291,8,D005_4,D005_4
V0284,EV Van,1149,10.81,56.96,0.09,214,9,D005_5,D005_5
