Vehicle_ID,Vehicle_Type,Capacity_Weight,Capacity_Volume,Fixed_Cost,Variable_Cost,Max_Distance,Max_Working_Hours,Start_Depot_ID,End_Depot_ID
V0002,Bike,30,0.24,9.69,0.03,39,8,D002_1,D002_1
V0009,Bike,28,0.37,7.82,0.06,35,8,D002_4,D002_4
V0030,EV Van,1139,10.06,44.3,0.1,209,10,D002_3,D002_3
V0033,Bike,26,0.11,9.71,0.08,20,6,D002_3,D002_3
V0034,Bike,35,0.26,8.23,0.05,39,8,D002_2,D002_2
V0057,Motorbike,62,0.66,12.54,0.11,152,10,D002_3,D002_3
V0060,EV Van,787,6.28,56.94,0.11,172,8,D002_5,D002_5
V0069,Motorbike,96,0.45,14.79,0.06,94,8,D002_1,D002_1
V0071,Bike,32,0.22,8.58,0.04,47,6,D002_4,D002_4
V0072,Motorbike,64,0.34,9.12,0.05,140,8,D002_1,D002_1
V0075,Motorbike,85,0.52,9.49,0.1,112,10,D002_4,D002_4
V0076,EV Van,1196,9.96,48.46,0.15,198,8,D002_1,D002_1
V0083,EV Van,932,6.66,47.68,0.1,150,10,D002_3,D002_3
V0096,Motorbike,70,0.42,13.48,0.11,138,10,D002_2,D002_2
V0108,Bike,20,0.22,5.49,0.04,47,6,D002_5,D002_5
V0112,Motorbike,62,0.27,12.17,0.05,86,8,D002_4,D002_4
V0117,EV Van,811,7.98,50.81,0.08,123,10,D002_4,D002_4
V0124,Bike,38,0.26,5.54,0.06,43,6,D002_2,D002_2
V0125,Motorbike,72,0.62,8.85,0.1,151,10,D002_3,D002_3
V0126,Motorbike,70,0.68,9.38,0.11,150,10,D002_1,D002_1
V0130,Bike,28,0.34,6.39,0.04,40,8,D002_1,D002_1
V0132,Bike,22,0.22,5.15,0.06,37,6,D002_1,D002_1
V0141,Motorbike,66,0.31,10.87,0.06,68,10,D002_4,D002_4
V0143,Bike,30,0.13,9.83,0.05,27,6,D002_4,D002_4
V0149,Motorbike,60,0.68,10.11,0.09,136,8,D002_3,D002_3
V0185,EV Van,1186,10.86,52.06,0.1,218,8,D002_4,D002_4
V0186,Motorbike,94,0.68,12.82,0.08,158,8,D002_2,D002_2
V0193,EV Van,1137,8.29,43.09,0.14,219,8,D002_1,D002_1
V0198,Bike,27,0.36,7.86,0.03,35,8,D002_4,D002_4
V0199,Motorbike,95,0.59,9.91,0.06,73,10,D002_2,D002_2
V0201,Motorbike,67,0.69,8.13,0.09,82,10,D002_5,D002_5
V0209,EV Van,1175,7.26,68.89,0.11,197,8,D002_2,D002_2
V0213,EV Van,884,6.96,65.9,0.14,129,10,D002_4,D002_4
V0214,Motorbike,72,0.76,9.28,0.08,125,10,D002_2,D002_2
V0215,Motorbike,80,0.62,14.96,0.08,76,10,D002_3,D002_3
V0221,Motorbike,72,0.53,9.56,0.1,145,8,D002_1,D002_1
V0233,Motorbike,84,0.29,10.43,0.07,137,10,D002_3,D002_3
V0248,Motorbike,98,0.58,12.13,0.1,74,8,D002_1,D002_1
V0254,Van,1209,9.58,48.91,0.14,285,8,D002_3,D002_3
V0273,Bike,29,0.37,7.61,0.04,26,8,D002_5,D002_5
V0291,Motorbike,84,0.26,10.2,0.09,70,10,D002_1,D002_1
