Vehicle_ID,Vehicle_Type,Capacity_Weight,Capacity_Volume,Fixed_Cost,Variable_Cost,Max_Distance,Max_Working_Hours,Start_Depot_ID,End_Depot_ID
V0008,Bike,24,0.3,7.21,0.07,36,8,D007_1,D007_1
V0010,Motorbike,59,0.25,9.82,0.12,104,8,D007_1,D007_1
V0016,Van,1260,10.58,67.6,0.26,300,10,D007_3,D007_3
V0026,EV Van,1067,8.62,61.03,0.12,223,10,D007_1,D007_1
V0035,EV Van,1192,10.56,60.11,0.15,219,8,D007_2,D007_2
V0038,Van,1359,13.22,50.35,0.15,155,12,D007_2,D007_2
V0039,Van,914,12.85,50.25,0.24,183,12,D007_4,D007_4
V0042,Van,926,13.21,64.61,0.18,343,12,D007_5,D007_5
V0061,Van,1498,9.72,72.07,0.19,195,10,D007_4,D007_4
V0068,Motorbike,51,0.25,11.14,0.12,71,10,D007_4,D007_4
V0073,Cargo Trike,90,0.63,10.1,0.12,67,10,D007_5,D007_5
V0095,Van,1048,8.36,56.1,0.2,248,8,D007_3,D007_3
V0121,Van,1161,11.17,78.25,0.16,321,12,D007_3,D007_3
V0150,Van,1059,12.32,69.62,0.27,349,12,D007_2,D007_2
V0154,Bike,37,0.12,8.96,0.05,25,8,D007_2,D007_2
V0155,Motorbike,71,0.25,13.5,0.12,68,10,D007_1,D007_1
V0156,Bike,23,0.39,6.72,0.08,31,8,D007_5,D007_5
V0187,Cargo Trike,126,0.89,14.19,0.11,76,8,D007_3,D007_3
V0188,Motorbike,52,0.57,14.49,0.07,109,10,D007_3,D007_3
V0220,Motorbike,89,0.45,8.55,0.06,99,8,D007_3,D007_3
V0228,Cargo Trike,129,1.13,17.18,0.11,83,8,D007_1,D007_1
V0240,Bike,27,0.35,9.1,0.08,26,8,D007_1,D007_1
V0241,Van,1340,8.85,67.32,0.18,195,10,D007_2,D007_2
V0251,Bike,40,0.29,9.25,0.04,32,6,D007_5,D007_5
V0258,EV Van,887,8.61,46.69,0.11,155,9,D007_2,D007_2
V0259,EV Van,815,6.23,68.47,0.09,216,10,D007_3,D007_3
V0261,Motorbike,57,0.56,10.63,0.08,148,10,D007_4,D007_4
V0262,Van,1090,13.42,60.81,0.19,176,10,D007_4,D007_4
V0272,Motorbike,70,0.32,13.49,0.05,61,8,D007_2,D007_2
V0277,EV Van,811,8.23,48.83,0.17,214,10,D007_2,D007_2
V0295,Van,929,9.04,57.86,0.27,251,8,D007_1,D007_1
V0296,Bike,28,0.22,5.43,0.08,38,8,D007_4,D007_4
V0297,Bike,40,0.12,5.1,0.05,36,6,D007_2,D007_2
V0298,Van,1082,11.28,52.14,0.17,246,8,D007_1,D007_1
