Vehicle_ID,Vehicle_Type,Capacity_Weight,Capacity_Volume,Fixed_Cost,Variable_Cost,Max_Distance,Max_Working_Hours,Start_Depot_ID,End_Depot_ID
V0005,Cargo Trike,105,0.62,11.93,0.1,68,9,D006_5,D006_5
V0018,Bike,35,0.34,5.29,0.07,34,6,D006_2,D006_2
V0037,Bike,33,0.31,7.99,0.08,31,6,D006_5,D006_5
V0041,Motorbike,86,0.71,10.67,0.11,114,8,D006_5,D006_5
V0053,Van,1258,11.79,53.97,0.14,211,8,D006_5,D006_5
V0054,Motorbike,64,0.53,9.7,0.09,98,8,D006_3,D006_3
V0055,Bike,39,0.1,9.49,0.07,28,8,D006_5,D006_5
V0058,Van,1242,10.05,55.84,0.18,291,12,D006_2,D006_2
V0059,Bike,29,0.25,6.79,0.06,35,6,D006_4,D006_4
V0063,Bike,37,0.17,6.33,0.04,27,6,D006_1,D006_1
V0065,EV Van,889,6.73,61.87,0.14,218,9,D006_5,D006_5
V0079,Motorbike,65,0.41,10.82,0.06,88,10,D006_3,D006_3
V0090,Bike,23,0.18,5.31,0.08,31,6,D006_3,D006_3
V0097,Van,1235,8.05,55.62,0.18,301,10,D006_5,D006_5
V0101,Van,1459,11.58,60.9,0.21,340,12,D006_3,D006_3
V0113,EV Van,913,11.34,50.74,0.09,195,8,D006_4,D006_4
V0147,Motorbike,88,0.7,13.77,0.12,87,10,D006_3,D006_3
V0148,Van,857,10.19,63.88,0.17,196,8,D006_2,D006_2
V0161,Van,1103,11.14,62.93,0.24,266,10,D006_2,D006_2
V0174,Bike,36,0.32,9.0,0.04,29,6,D006_3,D006_3
V0181,EV Van,913,7.02,49.24,0.08,138,9,D006_5,D006_5
V0191,Bike,26,0.16,5.07,0.05,34,6,D006_2,D006_2
V0203,Cargo Trike,97,1.36,10.77,0.06,68,9,D006_1,D006_1
V0206,Bike,29,0.35,5.32,0.04,37,8,D006_5,D006_5
V0225,Van,1191,11.81,70.66,0.16,248,10,D006_4,D006_4
V0247,Van,1180,12.15,45.18,0.21,252,8,D006_3,D006_3
V0279,Motorbike,55,0.22,9.27,0.11,143,8,D006_1,D006_1
V0287,EV Van,909,7.43,45.37,0.14,135,9,D006_1,D006_1
V0289,Van,1391,8.61,74.55,0.18,159,8,D006_3,D006_3
V0292,Cargo Trike,81,0.8,16.0,0.09,47,8,D006_5,D006_5
