Origin_Node_ID,Destination_Node_ID,Distance_km,Travel_Time_min,Traffic_Level,Road_Restrictions
D004_2,C000007,7.066,16.3,Low,No Heavy Trucks
D004_2,C000039,7.482,27.6,High,No Heavy Trucks
D004_2,C000048,2.231,6.4,Medium,
D004_2,C000085,1.559,3.6,Low,
D004_2,C000092,6.568,18.9,Medium,
D004_2,C000120,4.438,12.8,Medium,
D004_2,C000126,1.073,3.1,Medium,
D004_2,C000135,4.698,10.8,Low,
D004_2,C000143,5.002,11.5,Low,
D004_2,C000168,5.764,16.6,Medium,
D004_2,C000189,6.565,18.9,Medium,
D004_2,C000204,2.864,8.3,Medium,
D004_2,C000222,2.798,8.1,Medium,
D004_2,C000238,2.391,8.8,High,
D004_2,C000243,2.101,6.1,Medium,
D004_2,C000247,7.45,21.5,Medium,
D004_2,C000256,7.591,21.9,Medium,
D004_2,C000263,6.392,14.8,Low,
D004_2,C000287,1.977,5.7,Medium,
D004_2,C000290,4.868,14.0,Medium,
D004_2,C000294,4.644,13.4,Medium,
D004_2,C000296,4.326,12.5,Medium,
D004_2,C000316,4.178,9.6,Low,
D004_2,C000318,3.296,9.5,Medium,
D004_2,C000323,5.988,17.3,Medium,
D004_2,C000330,2.059,4.8,Low,
D004_2,C000341,6.542,18.9,Medium,
D004_2,C000352,5.657,20.9,High,
D004_2,C000382,5.968,13.8,Low,
D004_2,C000393,4.854,14.0,Medium,
D004_2,C000403,4.074,11.8,Medium,
D004_2,C000413,2.177,5.0,Low,One-Way
D004_2,C000423,3.825,8.8,Low,
D004_2,C000426,6.266,18.1,Medium,One-Way
D004_2,C000427,5.88,17.0,Medium,
D004_2,C000437,8.902,25.7,Medium,
D004_2,C000455,1.524,4.4,Medium,No Heavy Trucks
D004_2,C000460,7.573,17.5,Low,No Heavy Trucks
D004_2,C000475,3.833,11.1,Medium,
D004_2,C000492,5.343,12.3,Low,
D004_2,C000496,7.912,22.8,Medium,
D004_2,C000513,2.854,8.2,Medium,
D004_2,C000518,5.339,15.4,Medium,
D004_2,C000523,7.443,27.5,High,One-Way
D004_2,C000532,3.753,8.7,Low,
D004_2,C000574,3.417,7.9,Low,
D004_2,C000580,4.808,11.1,Low,One-Way
D004_2,C000603,9.457,21.8,Low,
D004_2,C000614,5.593,12.9,Low,One-Way
D004_2,C000618,8.45,19.5,Low,
D004_2,C000621,3.309,9.5,Medium,
D004_2,C000624,7.08,16.3,Low,No Heavy Trucks
D004_2,C000634,3.744,10.8,Medium,
D004_2,C000638,6.575,15.2,Low,
D004_2,C000642,7.192,20.7,Medium,
D004_2,C000643,6.344,14.6,Low,
D004_2,C000654,4.895,11.3,Low,
D004_2,C000662,7.694,22.2,Medium,
D004_2,C000666,7.938,22.9,Medium,
D004_2,C000673,6.597,19.0,Medium,One-Way
D004_2,C000686,8.787,20.3,Low,
D004_2,C000697,3.34,9.6,Medium,
D004_2,C000701,4.928,14.2,Medium,No Heavy Trucks
D004_2,C000708,9.263,26.7,Medium,
D004_2,C000728,6.7,24.7,High,
D004_2,C000748,5.131,11.8,Low,
D004_2,C000764,5.501,15.9,Medium,
D004_2,C000771,7.459,21.5,Medium,
D004_2,C000779,6.174,14.2,Low,
D004_2,C000786,6.906,15.9,Low,No Heavy Trucks
D004_2,C000787,6.707,19.3,Medium,One-Way
D004_2,C000805,7.359,17.0,Low,
D004_2,C000808,8.416,19.4,Low,
D004_2,C000814,5.682,13.1,Low,No Heavy Trucks
D004_2,C000824,6.392,14.8,Low,One-Way
D004_2,C000832,2.757,6.4,Low,
D004_2,C000839,4.83,13.9,Medium,
D004_2,C000845,5.826,16.8,Medium,
D004_2,C000855,4.246,9.8,Low,
D004_2,C000862,3.56,13.1,High,
D004_2,C000905,4.386,12.7,Medium,
D004_2,C000908,4.42,16.3,High,
D004_2,C000929,7.3,21.1,Medium,One-Way
D004_2,C000955,6.684,24.7,High,
D004_2,C000989,4.522,13.0,Medium,
D004_2,C001016,1.024,2.4,Low,
D004_2,C001030,4.804,13.9,Medium,
D004_2,C001039,6.34,18.3,Medium,
D004_2,C001067,3.597,10.4,Medium,
D004_2,C001074,3.37,7.8,Low,
D004_2,C001076,6.499,18.7,Medium,
D004_2,C001079,1.363,3.9,Medium,No Heavy Trucks
D004_2,C001088,7.901,18.2,Low,
D004_2,C001112,4.171,12.0,Medium,
