Vehicle_ID,Vehicle_Type,Capacity_Weight,Capacity_Volume,Fixed_Cost,Variable_Cost,Max_Distance,Max_Working_Hours,Start_Depot_ID,End_Depot_ID
V0013,Van,1094,13.7,58.41,0.27,288,8,D004_2,D004_2
V0020,Motorbike,85,0.38,14.68,0.1,157,8,D004_1,D004_1
V0043,Motorbike,69,0.21,13.43,0.12,156,8,D004_5,D004_5
V0047,Bike,22,0.35,9.53,0.04,28,8,D004_4,D004_4
V0050,Motorbike,86,0.67,11.72,0.08,109,8,D004_2,D004_2
V0052,EV Van,862,8.51,40.59,0.16,201,8,D004_3,D004_3
V0062,Motorbike,94,0.46,8.35,0.1,139,8,D004_5,D004_5
V0070,EV Van,837,7.79,44.78,0.15,217,8,D004_3,D004_3
V0089,EV Van,723,10.64,53.26,0.15,201,10,D004_4,D004_4
V0135,Bike,30,0.18,5.06,0.06,38,6,D004_1,D004_1
V0136,Motorbike,50,0.39,11.32,0.09,75,8,D004_3,D004_3
V0152,Motorbike,65,0.2,14.76,0.08,147,8,D004_5,D004_5
V0153,Bike,35,0.23,9.04,0.04,48,8,D004_4,D004_4
V0159,Bike,35,0.37,6.21,0.07,39,6,D004_5,D004_5
V0160,Bike,27,0.17,8.77,0.05,25,6,D004_2,D004_2
V0165,Motorbike,79,0.29,13.69,0.11,151,8,D004_3,D004_3
V0166,Motorbike,91,0.49,14.4,0.1,140,10,D004_3,D004_3
V0169,Van,1203,9.07,78.86,0.14,254,10,D004_5,D004_5
V0183,Van,958,8.06,75.6,0.23,286,8,D004_5,D004_5
V0184,Bike,30,0.21,6.37,0.07,43,8,D004_1,D004_1
V0205,Van,1195,13.8,50.18,0.19,282,12,D004_5,D004_5
V0210,Bike,26,0.38,9.85,0.07,27,6,D004_4,D004_4
V0212,Van,823,10.1,67.67,0.26,316,10,D004_5,D004_5
V0218,Van,1478,12.79,58.17,0.2,225,12,D004_1,D004_1
V0219,Motorbike,56,0.72,14.54,0.11,100,8,D004_2,D004_2
V0227,Van,1296,9.21,77.19,0.26,287,10,D004_5,D004_5
V0236,Motorbike,76,0.32,8.66,0.08,88,8,D004_3,D004_3
V0237,Bike,35,0.33,7.01,0.05,48,6,D004_5,D004_5
V0246,Motorbike,99,0.6,14.63,0.09,72,8,D004_2,D004_2
V0253,EV Van,856,7.07,65.74,0.11,225,10,D004_3,D004_3
V0257,Motorbike,81,0.46,9.18,0.06,150,10,D004_1,D004_1
V0266,Van,1355,10.87,75.03,0.28,316,12,D004_4,D004_4
V0268,Van,1170,8.37,56.53,0.15,342,12,D004_3,D004_3
V0278,Motorbike,76,0.69,12.53,0.12,123,10,D004_3,D004_3
V0286,Van,982,13.33,53.02,0.28,253,12,D004_2,D004_2
V0299,Motorbike,74,0.49,10.32,0.07,156,8,D004_4,D004_4
