Vehicle_ID,Vehicle_Type,Capacity_Weight,Capacity_Volume,Fixed_Cost,Variable_Cost,Max_Distance,Max_Working_Hours,Start_Depot_ID,End_Depot_ID
V0007,Bike,23,0.13,5.86,0.07,45,6,D003_5,D003_5
V0023,Motorbike,86,0.71,13.56,0.07,99,8,D003_4,D003_4
V0025,Van,1032,10.74,68.97,0.19,273,8,D003_1,D003_1
V0044,Motorbike,91,0.8,11.58,0.05,107,8,D003_1,D003_1
V0048,Van,1439,12.96,52.81,0.28,326,12,D003_3,D003_3
V0066,Motorbike,95,0.26,9.51,0.1,126,10,D003_4,D003_4
V0080,Motorbike,60,0.41,12.46,0.08,101,8,D003_3,D003_3
V0084,Van,1490,10.53,73.71,0.18,291,10,D003_5,D003_5
V0114,Motorbike,81,0.7,11.67,0.09,63,10,D003_3,D003_3
V0128,Motorbike,88,0.44,12.86,0.11,82,8,D003_1,D003_1
V0142,Motorbike,79,0.63,11.15,0.06,92,8,D003_5,D003_5
V0182,Bike,22,0.32,8.21,0.04,35,8,D003_5,D003_5
V0194,Van,1188,10.14,45.46,0.14,222,8,D003_1,D003_1
V0196,Motorbike,95,0.71,8.58,0.11,153,8,D003_5,D003_5
V0197,Van,879,9.75,47.32,0.21,330,10,D003_2,D003_2
V0217,Van,835,10.27,56.73,0.21,270,12,D003_2,D003_2
V0223,Motorbike,55,0.41,9.11,0.05,106,8,D003_4,D003_4
V0250,EV Van,812,11.38,66.12,0.17,166,8,D003_5,D003_5
V0255,Motorbike,96,0.52,12.62,0.08,65,8,D003_5,D003_5
V0264,Bike,40,0.11,6.23,0.08,23,8,D003_5,D003_5
V0280,Bike,37,0.22,9.87,0.07,25,6,D003_5,D003_5
V0282,Motorbike,58,0.69,14.33,0.08,99,8,D003_3,D003_3
V0293,Motorbike,72,0.63,14.17,0.08,66,8,D003_3,D003_3
