Origin_Node_ID,Destination_Node_ID,Distance_km,Travel_Time_min,Traffic_Level,Road_Restrictions
D002_4,C000001,7.258,27.2,Medium,One-Way
D002_4,C000004,6.452,19.4,Low,One-Way
D002_4,C000005,5.176,24.8,High,No Heavy Trucks
D002_4,C000008,11.012,52.9,High,
D002_4,C000009,8.597,32.2,Medium,One-Way
D002_4,C000012,10.199,30.6,Low,
D002_4,C000016,2.405,9.0,Medium,
D002_4,C000019,18.573,69.6,Medium,
D002_4,C000020,10.19,48.9,High,
D002_4,C000021,11.826,56.8,High,
D002_4,C000023,16.065,60.2,Medium,No Heavy Trucks
D002_4,C000024,15.287,57.3,Medium,
D002_4,C000025,7.111,26.7,Medium,
D002_4,C000030,11.087,41.6,Medium,No Heavy Trucks
D002_4,C000034,10.832,40.6,Medium,
D002_4,C000040,16.035,60.1,Medium,
D002_4,C000041,4.864,18.2,Medium,
D002_4,C000047,11.239,53.9,High,One-Way
D002_4,C000049,3.679,17.7,High,
D002_4,C000050,14.104,67.7,High,
D002_4,C000053,10.986,41.2,Medium,
D002_4,C000054,10.129,48.6,High,
D002_4,C000058,17.048,81.8,High,No Heavy Trucks
D002_4,C000060,12.868,38.6,Low,
D002_4,C000061,6.472,24.3,Medium,
D002_4,C000062,11.638,43.6,Medium,
D002_4,C000063,8.895,33.4,Medium,
D002_4,C000064,4.086,19.6,High,
D002_4,C000067,6.236,23.4,Medium,
D002_4,C000070,13.647,65.5,High,One-Way
D002_4,C000073,9.48,35.5,Medium,
D002_4,C000074,12.711,61.0,High,
D002_4,C000076,13.093,62.8,High,
D002_4,C000077,8.366,25.1,Low,One-Way
D002_4,C000080,11.943,44.8,Medium,
D002_4,C000082,4.371,16.4,Medium,
D002_4,C000083,11.554,43.3,Medium,
D002_4,C000091,5.732,21.5,Medium,
D002_4,C000094,11.805,35.4,Low,
D002_4,C000095,16.133,77.4,High,
D002_4,C000096,12.144,45.5,Medium,
D002_4,C000101,8.197,30.7,Medium,
D002_4,C000102,0.082,0.3,Medium,
D002_4,C000106,5.902,22.1,Medium,
D002_4,C000108,11.702,43.9,Medium,
D002_4,C000116,18.421,55.3,Low,
D002_4,C000117,12.639,37.9,Low,
D002_4,C000118,17.968,53.9,Low,
D002_4,C000124,16.024,76.9,High,One-Way
D002_4,C000128,2.095,7.9,Medium,
D002_4,C000131,11.942,57.3,High,
D002_4,C000133,5.741,17.2,Low,No Heavy Trucks
D002_4,C000139,14.893,44.7,Low,
D002_4,C000140,11.697,35.1,Low,One-Way
D002_4,C000144,12.03,45.1,Medium,No Heavy Trucks
D002_4,C000145,9.153,43.9,High,One-Way
D002_4,C000146,6.291,23.6,Medium,One-Way
D002_4,C000147,5.279,19.8,Medium,
D002_4,C000149,12.866,61.8,High,
D002_4,C000152,8.73,41.9,High,
D002_4,C000155,7.906,29.6,Medium,One-Way
D002_4,C000157,9.807,36.8,Medium,No Heavy Trucks
D002_4,C000159,8.682,32.6,Medium,
D002_4,C000162,10.045,37.7,Medium,One-Way
D002_4,C000163,14.868,55.8,Medium,No Heavy Trucks
D002_4,C000165,11.721,44.0,Medium,
D002_4,C000169,13.044,48.9,Medium,
D002_4,C000170,4.614,17.3,Medium,
D002_4,C000171,14.13,42.4,Low,
D002_4,C000181,14.037,42.1,Low,
D002_4,C000185,10.515,39.4,Medium,
D002_4,C000188,15.808,75.9,High,
D002_4,C000190,12.887,48.3,Medium,
D002_4,C000192,8.315,31.2,Medium,
D002_4,C000194,15.003,72.0,High,No Heavy Trucks
D002_4,C000196,9.439,35.4,Medium,One-Way
D002_4,C000198,10.283,30.8,Low,One-Way
D002_4,C000199,3.499,13.1,Medium,
D002_4,C000201,15.554,46.7,Low,
D002_4,C000203,11.612,34.8,Low,
D002_4,C000205,17.493,65.6,Medium,No Heavy Trucks
D002_4,C000206,10.692,51.3,High,
D002_4,C000208,2.605,9.8,Medium,One-Way
D002_4,C000209,12.607,47.3,Medium,
D002_4,C000211,3.14,9.4,Low,One-Way
D002_4,C000212,15.887,76.3,High,One-Way
D002_4,C000214,16.04,60.1,Medium,
D002_4,C000216,5.673,21.3,Medium,
D002_4,C000227,14.121,53.0,Medium,
D002_4,C000228,5.708,21.4,Medium,
D002_4,C000239,14.14,67.9,High,
D002_4,C000240,1.582,7.6,High,No Heavy Trucks
D002_4,C000242,10.266,30.8,Low,
D002_4,C000246,11.256,54.0,High,
D002_4,C000249,10.769,40.4,Medium,One-Way
D002_4,C000250,5.914,28.4,High,
D002_4,C000253,11.657,35.0,Low,
D002_4,C000257,12.936,38.8,Low,
D002_4,C000261,10.39,31.2,Low,One-Way
D002_4,C000270,5.394,25.9,High,
D002_4,C000275,6.923,26.0,Medium,
D002_4,C000277,12.705,47.6,Medium,
D002_4,C000279,10.214,38.3,Medium,
D002_4,C000284,10.305,30.9,Low,
D002_4,C000286,12.577,60.4,High,
D002_4,C000289,10.827,40.6,Medium,
D002_4,C000300,14.731,55.2,Medium,No Heavy Trucks
D002_4,C000302,4.836,18.1,Medium,
D002_4,C000308,2.684,10.1,Medium,
D002_4,C000309,4.646,17.4,Medium,
D002_4,C000311,16.978,63.7,Medium,No Heavy Trucks
D002_4,C000312,10.543,50.6,High,
D002_4,C000315,3.567,17.1,High,
D002_4,C000317,12.301,59.0,High,
D002_4,C000319,12.554,37.7,Low,No Heavy Trucks
D002_4,C000320,6.571,24.6,Medium,
D002_4,C000322,4.434,16.6,Medium,
D002_4,C000331,12.364,46.4,Medium,
D002_4,C000333,8.667,32.5,Medium,
D002_4,C000338,13.414,40.2,Low,No Heavy Trucks
D002_4,C000344,12.873,48.3,Medium,
D002_4,C000351,4.714,22.6,High,
D002_4,C000359,12.777,47.9,Medium,
D002_4,C000361,1.503,4.5,Low,
D002_4,C000363,15.485,58.1,Medium,
D002_4,C000366,11.956,44.8,Medium,No Heavy Trucks
D002_4,C000367,10.408,31.2,Low,
D002_4,C000369,12.111,58.1,High,
D002_4,C000370,11.514,43.2,Medium,
D002_4,C000372,7.448,27.9,Medium,
D002_4,C000374,7.784,37.4,High,
D002_4,C000375,10.847,32.5,Low,No Heavy Trucks
D002_4,C000378,13.786,66.2,High,
D002_4,C000379,5.808,27.9,High,No Heavy Trucks
D002_4,C000383,10.423,39.1,Medium,
D002_4,C000384,15.19,72.9,High,
D002_4,C000385,7.701,28.9,Medium,One-Way
D002_4,C000387,3.861,14.5,Medium,One-Way
D002_4,C000389,14.284,53.6,Medium,
D002_4,C000394,16.638,62.4,Medium,
D002_4,C000401,12.153,45.6,Medium,
D002_4,C000407,6.784,32.6,High,
D002_4,C000408,14.542,69.8,High,No Heavy Trucks
D002_4,C000414,6.11,22.9,Medium,
D002_4,C000416,9.976,37.4,Medium,
D002_4,C000421,12.385,37.2,Low,One-Way
D002_4,C000429,11.533,43.2,Medium,
D002_4,C000439,14.13,53.0,Medium,
D002_4,C000449,17.401,65.3,Medium,
D002_4,C000454,13.056,49.0,Medium,
D002_4,C000459,12.372,46.4,Medium,
D002_4,C000461,15.633,46.9,Low,
D002_4,C000463,1.596,6.0,Medium,
D002_4,C000465,14.445,54.2,Medium,
D002_4,C000467,12.842,48.2,Medium,
D002_4,C000470,2.564,9.6,Medium,
D002_4,C000472,10.577,39.7,Medium,
D002_4,C000477,1.71,8.2,High,One-Way
D002_4,C000479,13.752,51.6,Medium,
D002_4,C000482,14.808,71.1,High,
D002_4,C000483,10.839,40.6,Medium,
D002_4,C000484,10.159,30.5,Low,
D002_4,C000487,12.74,47.8,Medium,
D002_4,C000491,12.632,47.4,Medium,
D002_4,C000500,9.438,35.4,Medium,No Heavy Trucks
D002_4,C000506,8.533,32.0,Medium,
D002_4,C000510,10.189,30.6,Low,No Heavy Trucks
D002_4,C000516,12.149,45.6,Medium,One-Way
D002_4,C000520,3.977,14.9,Medium,No Heavy Trucks
D002_4,C000521,9.123,34.2,Medium,
D002_4,C000529,10.106,30.3,Low,
D002_4,C000530,10.058,37.7,Medium,
D002_4,C000533,13.798,51.7,Medium,
D002_4,C000535,13.107,62.9,High,
D002_4,C000538,16.916,81.2,High,No Heavy Trucks
D002_4,C000539,10.315,38.7,Medium,One-Way
D002_4,C000540,9.708,36.4,Medium,
D002_4,C000542,13.158,63.2,High,
D002_4,C000543,1.588,6.0,Medium,
D002_4,C000544,13.018,39.1,Low,
D002_4,C000546,5.165,15.5,Low,
D002_4,C000547,2.85,8.6,Low,
D002_4,C000549,14.698,55.1,Medium,One-Way
D002_4,C000551,10.068,37.8,Medium,No Heavy Trucks
D002_4,C000553,8.598,25.8,Low,
D002_4,C000554,5.395,20.2,Medium,
D002_4,C000558,3.808,14.3,Medium,
D002_4,C000561,10.548,31.6,Low,
D002_4,C000563,2.489,9.3,Medium,
D002_4,C000564,14.148,42.4,Low,One-Way
D002_4,C000566,7.554,22.7,Low,
D002_4,C000569,12.941,38.8,Low,
D002_4,C000570,11.33,42.5,Medium,
D002_4,C000577,11.027,33.1,Low,
D002_4,C000581,9.724,36.5,Medium,
D002_4,C000583,15.223,45.7,Low,
D002_4,C000584,4.813,18.0,Medium,
D002_4,C000585,6.507,24.4,Medium,
D002_4,C000586,14.96,71.8,High,
D002_4,C000588,11.966,44.9,Medium,
D002_4,C000589,13.293,63.8,High,
D002_4,C000591,11.851,44.4,Medium,No Heavy Trucks
D002_4,C000595,11.396,42.7,Medium,
D002_4,C000597,2.91,8.7,Low,
D002_4,C000598,6.066,22.7,Medium,
D002_4,C000601,8.443,25.3,Low,One-Way
D002_4,C000602,10.939,52.5,High,One-Way
D002_4,C000605,7.461,22.4,Low,
D002_4,C000606,14.207,53.3,Medium,No Heavy Trucks
D002_4,C000607,14.596,54.7,Medium,
D002_4,C000611,15.124,72.6,High,
D002_4,C000613,11.57,43.4,Medium,
D002_4,C000622,8.695,32.6,Medium,
D002_4,C000623,16.383,49.2,Low,One-Way
D002_4,C000627,14.542,54.5,Medium,
D002_4,C000628,12.959,62.2,High,
D002_4,C000631,6.827,25.6,Medium,
D002_4,C000635,13.473,40.4,Low,
D002_4,C000636,11.057,41.5,Medium,
D002_4,C000639,8.722,32.7,Medium,
D002_4,C000644,9.808,47.1,High,
D002_4,C000649,15.504,58.1,Medium,
D002_4,C000658,8.925,26.8,Low,One-Way
D002_4,C000659,13.762,66.1,High,
D002_4,C000664,1.322,6.3,High,
D002_4,C000665,13.015,62.5,High,
D002_4,C000667,4.584,17.2,Medium,
D002_4,C000668,11.866,57.0,High,
D002_4,C000669,8.796,33.0,Medium,
D002_4,C000670,12.483,46.8,Medium,
D002_4,C000674,10.286,38.6,Medium,
D002_4,C000679,12.487,59.9,High,
D002_4,C000683,8.843,26.5,Low,No Heavy Trucks
D002_4,C000684,14.818,55.6,Medium,One-Way
D002_4,C000692,11.231,33.7,Low,No Heavy Trucks
D002_4,C000694,11.587,43.5,Medium,
D002_4,C000695,6.556,19.7,Low,
D002_4,C000699,11.608,55.7,High,
D002_4,C000703,11.898,44.6,Medium,
D002_4,C000707,8.821,33.1,Medium,
D002_4,C000709,13.597,51.0,Medium,
D002_4,C000711,9.337,44.8,High,
D002_4,C000712,14.259,53.5,Medium,
D002_4,C000713,7.449,35.8,High,
D002_4,C000716,13.767,41.3,Low,
D002_4,C000718,9.209,44.2,High,
D002_4,C000721,11.203,53.8,High,One-Way
D002_4,C000725,8.289,31.1,Medium,
D002_4,C000726,4.295,16.1,Medium,
D002_4,C000731,6.637,31.9,High,No Heavy Trucks
D002_4,C000732,8.705,32.6,Medium,
D002_4,C000735,8.833,33.1,Medium,
D002_4,C000737,9.699,46.6,High,
D002_4,C000740,4.435,21.3,High,One-Way
D002_4,C000741,8.89,33.3,Medium,
D002_4,C000742,14.452,54.2,Medium,
D002_4,C000743,10.109,37.9,Medium,
D002_4,C000744,10.533,50.6,High,
D002_4,C000745,11.201,53.8,High,No Heavy Trucks
D002_4,C000746,7.785,29.2,Medium,No Heavy Trucks
D002_4,C000750,14.316,53.7,Medium,One-Way
D002_4,C000754,14.193,42.6,Low,
D002_4,C000756,10.079,48.4,High,
D002_4,C000758,10.46,39.2,Medium,
D002_4,C000759,8.278,31.0,Medium,One-Way
D002_4,C000762,3.225,12.1,Medium,One-Way
D002_4,C000763,11.402,42.8,Medium,
D002_4,C000765,8.634,32.4,Medium,
D002_4,C000766,16.09,77.2,High,
D002_4,C000770,12.135,45.5,Medium,
