Origin_Node_ID,Destination_Node_ID,Distance_km,Travel_Time_min,Traffic_Level,Road_Restrictions,Velocity
D001_1,C046151,21.701,74.0,Medium,,17.595405405405405
D001_1,C028356,21.609,94.3,High,,13.749098621420998
D001_1,C009985,21.545,73.4,Medium,,17.611716621253407
D001_1,C007825,21.506,93.8,High,,13.756503198294244
D001_1,C016276,21.404,93.4,High,,13.749892933618842
D001_1,C017243,21.4,73.0,Medium,,17.589041095890412
D001_1,C014259,21.278,72.5,Medium,No Heavy Trucks,17.609379310344828
D001_1,C012172,21.209,92.5,High,,13.757189189189189
D001_1,C049619,21.201,92.5,High,,13.751999999999999
D001_1,C038543,21.198,57.8,Low,One-Way,22.00484429065744
D001_1,C042918,21.183,57.8,Low,,21.989273356401384
D001_1,C034635,21.148,72.1,Medium,No Heavy Trucks,17.59889042995839
D001_1,C019500,21.139,57.7,Low,No Heavy Trucks,21.98162911611785
D001_1,C042831,21.129,72.0,Medium,,17.6075
D001_1,C017013,21.104,57.6,Low,,21.98333333333333
D001_1,C029271,21.1,71.9,Medium,,17.60778859527121
D001_4,C046151,21.092,71.9,Medium,,17.60111265646731
D001_1,C001190,21.085,71.9,Medium,,17.595271210013905
D001_1,C003652,21.013,71.6,Medium,,17.6086592178771
D001_1,C029753,21.013,91.7,High,,13.748964013086152
D001_4,C028356,21.001,91.6,High,,13.756113537117905
D001_1,C048509,20.984,91.6,High,,13.744978165938866
D001_1,C040783,20.976,71.5,Medium,,17.602237762237763
D001_1,C012254,20.975,91.5,High,,13.754098360655739
D001_1,C047234,20.967,71.5,Medium,No Heavy Trucks,17.594685314685314
D001_4,C009985,20.931,71.4,Medium,,17.5890756302521
D001_1,C044822,20.93,91.3,High,,13.754654983570646
D001_1,C020998,20.924,71.3,Medium,,17.607854137447408
D001_1,C027078,20.922,91.3,High,,13.749397590361445
D001_1,C041630,20.902,71.3,Medium,No Heavy Trucks,17.589340813464236
D001_1,C041689,20.898,71.2,Medium,No Heavy Trucks,17.610674157303368
D001_4,C007825,20.896,71.2,Medium,,17.608988764044945
D001_1,C010967,20.858,71.1,Medium,One-Way,17.601687763713084
D001_1,C049350,20.857,91.0,High,No Heavy Trucks,13.751868131868132
D001_2,C042465,20.852,71.1,Medium,,17.596624472573843
D001_1,C014786,20.839,90.9,High,,13.755115511551153
D001_1,C040763,20.832,90.9,High,,13.75049504950495
D001_3,C016088,20.826,71.0,Medium,,17.59943661971831
D001_1,C043719,20.809,56.8,Low,,21.981338028169016
D001_3,C032508,20.806,90.8,High,,13.748458149779738
D001_4,C016276,20.796,70.9,Medium,,17.598871650211564
D001_1,C012241,20.794,56.7,Low,,22.004232804232803
D001_4,C017243,20.792,70.9,Medium,,17.59548660084626
D001_1,C021724,20.789,56.7,Low,,21.9989417989418
D001_1,C038741,20.783,70.9,Medium,,17.58787023977433
D001_2,C003629,20.783,56.7,Low,,21.992592592592594
D001_2,C039154,20.777,90.7,High,,13.744432194046306
D001_1,C038153,20.771,70.8,Medium,No Heavy Trucks,17.60254237288136
D001_1,C023239,20.768,56.6,Low,,22.01554770318021
D001_2,C035758,20.764,70.8,Medium,,17.596610169491527
D001_1,C039551,20.754,70.8,Medium,,17.58813559322034
D001_1,C039994,20.743,70.7,Medium,One-Way,17.6036775106082
D001_1,C000680,20.742,70.7,Medium,,17.602828854314
D001_3,C047518,20.74,70.7,Medium,,17.601131541725596
D001_1,C046696,20.74,70.7,Medium,,17.601131541725596
D001_1,C003400,20.738,56.6,Low,,21.983745583038868
D001_1,C002227,20.725,70.7,Medium,,17.588401697312587
D001_1,C004149,20.714,56.5,Low,,21.99716814159292
D001_1,C009290,20.705,70.6,Medium,,17.59631728045326
D001_1,C030948,20.703,56.5,Low,No Heavy Trucks,21.985486725663716
D001_1,C008713,20.687,70.5,Medium,,17.60595744680851
D001_1,C011795,20.679,56.4,Low,One-Way,21.998936170212765
D001_2,C043154,20.672,70.5,Medium,,17.5931914893617
D001_4,C014259,20.664,90.2,High,No Heavy Trucks,13.745454545454546
D001_3,C001512,20.662,70.4,Medium,,17.60965909090909
D001_3,C030915,20.66,90.2,High,,13.742793791574279
D001_1,C018804,20.651,56.3,Low,,22.008170515097692
D001_1,C010491,20.65,70.4,Medium,One-Way,17.599431818181817
D001_1,C021529,20.644,90.1,High,,13.74739178690344
D001_1,C031767,20.622,90.0,High,,13.748
D001_1,C039973,20.616,70.3,Medium,,17.595448079658606
D001_4,C049619,20.608,70.3,Medium,One-Way,17.588620199146515
D001_4,C012172,20.604,89.9,High,,13.75127919911012
D001_1,C015608,20.6,89.9,High,,13.74860956618465
D001_4,C038543,20.596,89.9,High,,13.745939933259175
D001_3,C036823,20.583,70.2,Medium,,17.59230769230769
D001_1,C003137,20.576,89.8,High,,13.747884187082406
D001_1,C028660,20.575,70.1,Medium,,17.61055634807418
D001_1,C017978,20.568,70.1,Medium,,17.604564907275325
D001_4,C042918,20.565,89.7,High,,13.755852842809364
D001_1,C049250,20.563,70.1,Medium,One-Way,17.60028530670471
D001_1,C047309,20.561,70.1,Medium,,17.598573466476463
D001_1,C023446,20.56,70.1,Medium,,17.59771754636234
D001_4,C034635,20.555,56.1,Low,,21.983957219251334
D001_3,C000269,20.533,70.0,Medium,No Heavy Trucks,17.599714285714285
D001_3,C004719,20.527,70.0,Medium,,17.594571428571427
D001_2,C003485,20.527,56.0,Low,,21.993214285714288
D001_4,C042831,20.526,70.0,Medium,,17.593714285714285
D001_4,C019500,20.522,70.0,Medium,,17.590285714285713
D001_3,C042490,20.514,89.5,High,,13.75240223463687
D001_1,C009967,20.505,55.9,Low,,22.008944543828264
D001_2,C019089,20.504,89.5,High,,13.745698324022348
D001_4,C017013,20.499,55.9,Low,,22.002504472271912
