Vehicle_ID,Vehicle_Type,Capacity_Weight,Capacity_Volume,Fixed_Cost,Variable_Cost,Max_Distance,Max_Working_Hours,Start_Depot_ID,End_Depot_ID
V0003,Van,1493,9.78,65.03,0.14,218,8,D009_1,D009_1
V0012,Motorbike,87,0.23,14.96,0.11,137,8,D009_5,D009_5
V0015,Van,976,9.49,79.86,0.23,268,8,D009_3,D009_3
V0028,EV Van,841,10.93,55.88,0.13,202,10,D009_4,D009_4
V0067,Bike,35,0.1,9.27,0.08,38,6,D009_4,D009_4
V0085,Motorbike,81,0.64,9.94,0.08,112,8,D009_3,D009_3
V0091,Van,1376,10.28,51.72,0.13,181,10,D009_4,D009_4
V0093,Van,1040,10.19,53.93,0.27,278,10,D009_1,D009_1
V0111,Motorbike,98,0.26,11.8,0.11,90,8,D009_2,D009_2
V0116,Motorbike,57,0.57,8.26,0.1,120,10,D009_4,D009_4
V0118,Bike,35,0.26,8.58,0.04,21,6,D009_4,D009_4
V0120,Motorbike,59,0.48,13.27,0.07,94,8,D009_5,D009_5
V0131,Van,1031,9.44,49.31,0.28,207,8,D009_1,D009_1
V0133,Van,1079,12.03,56.37,0.19,222,8,D009_4,D009_4
V0137,Motorbike,66,0.47,13.96,0.06,149,8,D009_4,D009_4
V0144,Van,1085,13.58,59.91,0.18,331,12,D009_4,D009_4
V0151,EV Van,753,6.16,43.28,0.17,178,9,D009_3,D009_3
V0158,EV Van,796,9.69,53.8,0.1,161,10,D009_4,D009_4
V0170,Bike,28,0.36,6.91,0.04,20,8,D009_2,D009_2
V0176,Bike,29,0.2,6.78,0.05,30,8,D009_3,D009_3
V0177,Motorbike,95,0.45,9.6,0.06,129,8,D009_2,D009_2
V0180,Bike,29,0.31,5.33,0.04,31,6,D009_1,D009_1
V0192,Motorbike,98,0.57,11.61,0.09,127,8,D009_3,D009_3
V0216,Motorbike,63,0.77,12.69,0.06,126,10,D009_4,D009_4
V0229,Bike,28,0.31,8.64,0.04,20,8,D009_4,D009_4
V0249,EV Van,973,10.54,41.43,0.17,234,9,D009_5,D009_5
V0252,Motorbike,88,0.52,12.4,0.1,61,8,D009_4,D009_4
V0263,EV Van,1188,7.26,66.64,0.13,161,8,D009_1,D009_1
V0283,Cargo Trike,122,0.91,12.69,0.07,73,10,D009_4,D009_4
